"obs","words","count"
942,"점포",84
943,"스미싱",84
944,"세미나",83
945,"관리하",83
946,"타임스",83
947,"사건",82
948,"배포",82
949,"마찬가지",82
950,"간단",82
951,"분위기",82
952,"간소화",82
953,"다음달",82
954,"회원가",82
955,"퍼센트",82
956,"성장세",81
957,"지하",81
958,"도전",81
959,"결제방식",81
960,"최소화",80
961,"거대",80
962,"이젠",80
963,"조건",80
964,"대안",80
965,"담보",80
966,"유지",79
967,"오전",79
968,"신설",79
969,"최소",79
970,"sms",79
971,"osolgil",79
972,"혁신성",79
973,"원칙",78
974,"하자",78
975,"선진국",78
976,"대한",78
977,"시범",78
978,"스마트폰으로",78
979,"게이트",78
980,"운영체제",78
981,"사물",77
982,"방송",77
983,"개발자",77
984,"다운로드",77
985,"뱅크월렛",77
986,"핀테크에",77
987,"근거리",77
988,"인터파크가",76
989,"조언",76
990,"인도",76
991,"주가",76
992,"면제",76
993,"마스터카드",76
994,"촉진",75
995,"본사",75
996,"보장",75
997,"민국",75
998,"년대",75
999,"전면",75
1000,"플러스",75
1001,"현재",75
1002,"금융사고",75
1003,"근거",74
1004,"오늘",74
1005,"추정",74
1006,"문화",74
1007,"무료",74
1008,"최신",74
1009,"조회",74
1010,"마윈",73
1011,"1분기",73
1012,"상점",73
1013,"후보",73
1014,"자동화",73
1015,"주제",73
1016,"제3자",73
1017,"증대",73
1018,"취급",73
1019,"텐센트가",73
1020,"뱅크월렛카카오",73
1021,"선물",72
1022,"이자",72
1023,"형성",72
1024,"누적",72
1025,"비율",71
1026,"제조사",71
1027,"신입",71
1028,"통제",71
1029,"취득",71
1030,"하고",71
1031,"상승",71
1032,"발달",71
1033,"산업혁명",71
1034,"주민등록번호",71
1035,"금융업계",71
1036,"규제완화",71
1037,"mmf",71
1038,"착수",70
1039,"선도",70
1040,"ceo",70
1041,"atm",70
1042,"동남",70
1043,"주의",70
1044,"선언",70
1045,"모니터링",70
1046,"pki",70
1047,"불편함",70
1048,"샤오",69
1049,"작용",69
1050,"뉴시",69
1051,"현장",69
1052,"이해",69
1053,"본부장",69
1054,"현지법인",69
1055,"엔터",69
1056,"구상",68
1057,"부상",68
1058,"최종",68
1059,"상생",68
1060,"종합",68
1061,"접촉",68
1062,"크라우드펀딩",68
1063,"패스",68
1064,"벤처기업",68
1065,"금융정보",68
1066,"스마트카드",68
1067,"제공자",68
1068,"액티브",68
1069,"물론",67
1070,"홍보",67
1071,"sed",67
1072,"신분증",67
1073,"통장",67
1074,"편의점",67
1075,"공상",67
1076,"전달",67
1077,"언급",67
1078,"패턴",67
1079,"kg이니시스와",67
1080,"접수",67
1081,"식별",67
1082,"keb",67
1083,"반대",66
1084,"열풍",66
1085,"저렴",66
1086,"통계",66
1087,"직접",66
1088,"취지",66
1089,"개념",66
1090,"연휴",66
1091,"sk플래닛",66
1092,"비슷",66
1093,"의무적",66
1094,"전날",66
1095,"제약",66
1096,"도난",66
1097,"유심",66
1098,"키보드",65
1099,"안내",65
1100,"의사",65
1101,"메일",65
1102,"토록",65
1103,"강제",65
1104,"매각",65
1105,"신용대출",65
1106,"cns",65
1107,"옐로",65
1108,"대행사",65
1109,"수요가",64
1110,"콘텐츠",64
1111,"배경",64
1112,"신속",64
1113,"심각",64
1114,"달성",64
1115,"절감",64
1116,"기사",64
1117,"긍정적",64
1118,"대다수",64
1119,"퇴출",64
1120,"탈취",64
1121,"한국형",64
1122,"테스트",64
1123,"크라우",64
1124,"신세계",64
1125,"합류",64
1126,"신원",64
1127,"사파리",64
1128,"부정거래",64
1129,"안면",64
1130,"npapi",64
1131,"집계",63
1132,"개국",63
1133,"작성",63
1134,"러시",63
1135,"o2o",63
1136,"적립",63
1137,"수익률",63
1138,"민원",63
1139,"정확",63
1140,"스포츠",63
1141,"불법",63
1142,"액티브x는",63
1143,"아마존과",62
1144,"예측",62
1145,"신기",62
1146,"학력",62
1147,"산하",62
1148,"개별",62
1149,"경계",62
1150,"쿠폰",62
1151,"신제",62
1152,"참가",62
1153,"중국계",62
1154,"정식",61
1155,"직구",61
1156,"독자",61
1157,"고도화",61
1158,"물류",61
1159,"과도",61
1160,"확실",61
1161,"고객정보",61
1162,"주체",61
1163,"출현",61
1164,"한데",61
1165,"기법",61
1166,"보안사",61
1167,"데이터베이스",61
1168,"연예",61
1169,"자율적",61
1170,"액티브엑스를",61
1171,"버전",60
1172,"상무",60
1173,"인구",60
